Sale_ID,Date,Book_ID,Title,Author,Genre,Unit_Price,Quantity,Revenue
S0058,2025-06-19,B005,The Psychology of Money,Morgan Housel,Finance,550.0,4,2200.0
S0059,2025-06-29,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,3,1425.0
S0060,2025-04-23,B013,Think and Grow Rich,Napoleon Hill,Self-Help,375.0,3,1125.0
S0061,2025-02-04,B017,Automate the Boring Stuff,Al Sweigart,Technology,650.0,3,1950.0
S0062,2025-10-04,B002,Atomic Habits,James Clear,Self-Help,599.0,2,1198.0
S0063,2025-03-07,B001,The Alchemist,Paulo Coelho,Fiction,399.0,2,798.0
S0064,2025-08-30,B009,Sapiens,Yuval Noah Harari,History,699.0,1,699.0
S0065,2025-03-05,B003,Ikigai,Hector Garcia,Self-Help,449.0,3,1347.0
S0066,2025-04-20,B005,The Psychology of Money,Morgan Housel,Finance,550.0,4,2200.0
S0067,2025-06-13,B017,Automate the Boring Stuff,Al Sweigart,Technology,650.0,2,1300.0
S0068,2025-04-18,B018,Data Science from Scratch,Joel Grus,Technology,900.0,1,900.0
S0069,2025-06-02,B029,Good to Great,Jim Collins,Business,650.0,2,1300.0
S0070,2025-01-24,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,1,475.0
S0071,2025-09-02,B015,Clean Code,Robert C. Martin,Technology,699.0,2,1398.0
S0072,2025-02-28,B029,Good to Great,Jim Collins,Business,650.0,3,1950.0
S0073,2025-10-22,B015,Clean Code,Robert C. Martin,Technology,699.0,2,1398.0
S0074,2025-07-18,B010,Educated,Tara Westover,Biography,599.0,3,1797.0
S0075,2025-04-14,B013,Think and Grow Rich,Napoleon Hill,Self-Help,375.0,1,375.0
S0076,2025-01-04,B025,Cosmos,Carl Sagan,Science,725.0,4,2900.0
S0077,2025-04-21,B004,Rich Dad Poor Dad,Robert Kiyosaki,Finance,499.0,3,1497.0
S0078,2025-09-01,B003,Ikigai,Hector Garcia,Self-Help,449.0,3,1347.0
S0079,2025-03-31,B008,The Great Gatsby,F. Scott Fitzgerald,Fiction,325.0,3,975.0
S0080,2025-12-09,B022,Pride and Prejudice,Jane Austen,Classic,399.0,4,1596.0
S0081,2025-08-13,B003,Ikigai,Hector Garcia,Self-Help,449.0,4,1796.0
S0082,2025-03-28,B006,1984,George Orwell,Fiction,299.0,1,299.0
S0083,2025-07-19,B016,Python Crash Course,Eric Matthes,Technology,799.0,2,1598.0
S0084,2025-06-17,B025,Cosmos,Carl Sagan,Science,725.0,4,2900.0
S0085,2025-03-15,B009,Sapiens,Yuval Noah Harari,History,699.0,4,2796.0
S0086,2025-08-15,B008,The Great Gatsby,F. Scott Fitzgerald,Fiction,325.0,3,975.0
S0087,2025-12-28,B007,To Kill a Mockingbird,Harper Lee,Fiction,350.0,4,1400.0
S0088,2025-07-14,B004,Rich Dad Poor Dad,Robert Kiyosaki,Finance,499.0,1,499.0
S0089,2025-12-20,B013,Think and Grow Rich,Napoleon Hill,Self-Help,375.0,4,1500.0
S0090,2025-02-03,B027,Start With Why,Simon Sinek,Business,525.0,3,1575.0
S0091,2025-03-23,B027,Start With Why,Simon Sinek,Business,525.0,4,2100.0
S0092,2025-06-21,B016,Python Crash Course,Eric Matthes,Technology,799.0,2,1598.0
S0093,2025-05-03,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,3,1425.0
S0094,2025-11-20,B011,Steve Jobs,Walter Isaacson,Biography,799.0,1,799.0
S0095,2025-05-19,B022,Pride and Prejudice,Jane Austen,Classic,399.0,2,798.0
S0096,2025-12-12,B029,Good to Great,Jim Collins,Business,650.0,1,650.0
S0097,2025-01-25,B003,Ikigai,Hector Garcia,Self-Help,449.0,4,1796.0
S0098,2025-09-30,B004,Rich Dad Poor Dad,Robert Kiyosaki,Finance,499.0,1,499.0
S0099,2025-09-20,B018,Data Science from Scratch,Joel Grus,Technology,900.0,4,3600.0
S0100,2025-04-13,B005,The Psychology of Money,Morgan Housel,Finance,550.0,2,1100.0
S0101,2025-04-27,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,4,1900.0
S0102,2025-06-08,B015,Clean Code,Robert C. Martin,Technology,699.0,1,699.0
S0103,2025-03-05,B001,The Alchemist,Paulo Coelho,Fiction,399.0,1,399.0
S0104,2025-01-07,B004,Rich Dad Poor Dad,Robert Kiyosaki,Finance,499.0,3,1497.0
S0105,2025-04-19,B003,Ikigai,Hector Garcia,Self-Help,449.0,3,1347.0
S0106,2025-10-07,B020,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,599.0,3,1797.0
S0107,2025-11-12,B005,The Psychology of Money,Morgan Housel,Finance,550.0,4,2200.0
S0108,2025-01-31,B021,Dune,Frank Herbert,Fantasy,550.0,3,1650.0
S0109,2025-06-08,B004,Rich Dad Poor Dad,Robert Kiyosaki,Finance,499.0,1,499.0
S0110,2025-01-30,B028,Zero to One,Peter Thiel,Business,499.0,2,998.0
S0111,2025-02-18,B009,Sapiens,Yuval Noah Harari,History,699.0,2,1398.0
S0112,2025-04-25,B020,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,599.0,4,2396.0
S0113,2025-12-17,B008,The Great Gatsby,F. Scott Fitzgerald,Fiction,325.0,4,1300.0
S0114,2025-08-06,B001,The Alchemist,Paulo Coelho,Fiction,399.0,3,1197.0
S0115,2025-11-03,B019,The Hobbit,J.R.R. Tolkien,Fantasy,499.0,1,499.0
S0116,2025-10-01,B004,Rich Dad Poor Dad,Robert Kiyosaki,Finance,499.0,2,998.0
S0117,2025-03-02,B029,Good to Great,Jim Collins,Business,650.0,3,1950.0
S0118,2025-09-27,B028,Zero to One,Peter Thiel,Business,499.0,4,1996.0
S0119,2025-08-20,B014,The Intelligent Investor,Benjamin Graham,Finance,850.0,4,3400.0
S0120,2025-08-31,B001,The Alchemist,Paulo Coelho,Fiction,399.0,1,399.0
S0121,2025-04-02,B025,Cosmos,Carl Sagan,Science,725.0,4,2900.0
S0122,2025-05-02,B006,1984,George Orwell,Fiction,299.0,3,897.0
S0123,2025-12-07,B018,Data Science from Scratch,Joel Grus,Technology,900.0,4,3600.0
S0124,2025-04-16,B018,Data Science from Scratch,Joel Grus,Technology,900.0,2,1800.0
S0125,2025-12-05,B011,Steve Jobs,Walter Isaacson,Biography,799.0,2,1598.0
S0126,2025-12-18,B020,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,599.0,4,2396.0
S0127,2025-07-13,B013,Think and Grow Rich,Napoleon Hill,Self-Help,375.0,1,375.0
S0128,2025-12-30,B006,1984,George Orwell,Fiction,299.0,3,897.0
S0129,2025-12-17,B025,Cosmos,Carl Sagan,Science,725.0,1,725.0
S0130,2025-06-23,B002,Atomic Habits,James Clear,Self-Help,599.0,3,1797.0
S0131,2025-03-12,B004,Rich Dad Poor Dad,Robert Kiyosaki,Finance,499.0,4,1996.0
S0132,2025-12-04,B009,Sapiens,Yuval Noah Harari,History,699.0,1,699.0
S0133,2025-08-07,B028,Zero to One,Peter Thiel,Business,499.0,1,499.0
S0134,2025-07-30,B008,The Great Gatsby,F. Scott Fitzgerald,Fiction,325.0,1,325.0
S0135,2025-07-17,B003,Ikigai,Hector Garcia,Self-Help,449.0,1,449.0
S0136,2025-03-13,B002,Atomic Habits,James Clear,Self-Help,599.0,1,599.0
S0137,2025-06-06,B002,Atomic Habits,James Clear,Self-Help,599.0,3,1797.0
S0138,2025-10-21,B020,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,599.0,2,1198.0
S0139,2025-12-26,B009,Sapiens,Yuval Noah Harari,History,699.0,3,2097.0
S0140,2025-10-17,B027,Start With Why,Simon Sinek,Business,525.0,4,2100.0
S0141,2025-06-29,B002,Atomic Habits,James Clear,Self-Help,599.0,1,599.0
S0142,2025-03-25,B006,1984,George Orwell,Fiction,299.0,1,299.0
S0143,2025-12-13,B017,Automate the Boring Stuff,Al Sweigart,Technology,650.0,2,1300.0
S0144,2025-01-03,B002,Atomic Habits,James Clear,Self-Help,599.0,2,1198.0
S0145,2025-11-23,B016,Python Crash Course,Eric Matthes,Technology,799.0,1,799.0
S0146,2025-02-08,B026,The Power of Now,Eckhart Tolle,Self-Help,499.0,1,499.0
S0147,2025-09-09,B028,Zero to One,Peter Thiel,Business,499.0,1,499.0
S0148,2025-10-20,B026,The Power of Now,Eckhart Tolle,Self-Help,499.0,4,1996.0
S0149,2025-04-28,B030,The Lean Startup,Eric Ries,Business,599.0,4,2396.0
S0150,2025-08-18,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,3,1425.0
S0151,2025-09-27,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,1,475.0
S0152,2025-04-28,B016,Python Crash Course,Eric Matthes,Technology,799.0,3,2397.0
S0153,2025-11-01,B026,The Power of Now,Eckhart Tolle,Self-Help,499.0,2,998.0
S0154,2025-09-08,B012,Deep Work,Cal Newport,Productivity,525.0,3,1575.0
S0155,2025-01-23,B007,To Kill a Mockingbird,Harper Lee,Fiction,350.0,1,350.0
S0156,2025-03-02,B015,Clean Code,Robert C. Martin,Technology,699.0,2,1398.0
S0157,2025-05-04,B006,1984,George Orwell,Fiction,299.0,2,598.0
S0158,2025-09-26,B011,Steve Jobs,Walter Isaacson,Biography,799.0,2,1598.0
S0159,2025-03-08,B012,Deep Work,Cal Newport,Productivity,525.0,3,1575.0
S0160,2025-10-17,B009,Sapiens,Yuval Noah Harari,History,699.0,4,2796.0
S0161,2025-11-08,B028,Zero to One,Peter Thiel,Business,499.0,2,998.0
S0162,2025-06-18,B009,Sapiens,Yuval Noah Harari,History,699.0,3,2097.0
S0163,2025-06-28,B026,The Power of Now,Eckhart Tolle,Self-Help,499.0,3,1497.0
S0164,2025-07-21,B024,A Brief History of Time,Stephen Hawking,Science,650.0,3,1950.0
S0165,2025-01-27,B019,The Hobbit,J.R.R. Tolkien,Fantasy,499.0,2,998.0
S0166,2025-01-13,B022,Pride and Prejudice,Jane Austen,Classic,399.0,1,399.0
S0167,2025-07-03,B020,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,599.0,4,2396.0
S0168,2025-12-14,B004,Rich Dad Poor Dad,Robert Kiyosaki,Finance,499.0,3,1497.0
S0169,2025-08-15,B003,Ikigai,Hector Garcia,Self-Help,449.0,3,1347.0
S0170,2025-07-10,B002,Atomic Habits,James Clear,Self-Help,599.0,4,2396.0
S0171,2025-12-17,B004,Rich Dad Poor Dad,Robert Kiyosaki,Finance,499.0,4,1996.0
S0172,2025-05-29,B024,A Brief History of Time,Stephen Hawking,Science,650.0,3,1950.0
S0173,2025-12-30,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,4,1900.0
S0174,2025-02-02,B029,Good to Great,Jim Collins,Business,650.0,2,1300.0
S0175,2025-01-19,B017,Automate the Boring Stuff,Al Sweigart,Technology,650.0,1,650.0
S0176,2025-03-03,B019,The Hobbit,J.R.R. Tolkien,Fantasy,499.0,1,499.0
S0177,2025-01-03,B017,Automate the Boring Stuff,Al Sweigart,Technology,650.0,3,1950.0
S0178,2025-09-05,B014,The Intelligent Investor,Benjamin Graham,Finance,850.0,3,2550.0
S0179,2025-12-02,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,4,1900.0
S0180,2025-03-28,B015,Clean Code,Robert C. Martin,Technology,699.0,3,2097.0
S0181,2025-11-05,B028,Zero to One,Peter Thiel,Business,499.0,1,499.0
S0182,2025-09-21,B003,Ikigai,Hector Garcia,Self-Help,449.0,1,449.0
S0183,2025-09-24,B020,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,599.0,2,1198.0
S0184,2025-03-18,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,3,1425.0
S0185,2025-09-27,B010,Educated,Tara Westover,Biography,599.0,4,2396.0
S0186,2025-08-20,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,2,950.0
S0187,2025-07-14,B011,Steve Jobs,Walter Isaacson,Biography,799.0,2,1598.0
S0188,2025-12-17,B004,Rich Dad Poor Dad,Robert Kiyosaki,Finance,499.0,1,499.0
S0189,2025-07-22,B028,Zero to One,Peter Thiel,Business,499.0,2,998.0
S0190,2025-02-16,B012,Deep Work,Cal Newport,Productivity,525.0,3,1575.0
S0191,2025-12-13,B016,Python Crash Course,Eric Matthes,Technology,799.0,4,3196.0
S0192,2025-08-12,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,2,950.0
S0193,2025-08-26,B011,Steve Jobs,Walter Isaacson,Biography,799.0,4,3196.0
S0194,2025-11-05,B021,Dune,Frank Herbert,Fantasy,550.0,4,2200.0
S0195,2025-04-09,B003,Ikigai,Hector Garcia,Self-Help,449.0,4,1796.0
S0196,2025-02-14,B019,The Hobbit,J.R.R. Tolkien,Fantasy,499.0,1,499.0
S0197,2025-01-12,B017,Automate the Boring Stuff,Al Sweigart,Technology,650.0,3,1950.0
S0198,2025-02-04,B001,The Alchemist,Paulo Coelho,Fiction,399.0,2,798.0
S0199,2025-06-07,B025,Cosmos,Carl Sagan,Science,725.0,2,1450.0
S0200,2025-04-26,B014,The Intelligent Investor,Benjamin Graham,Finance,850.0,2,1700.0
S0201,2025-07-08,B009,Sapiens,Yuval Noah Harari,History,699.0,4,2796.0
S0202,2025-07-18,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,1,475.0
S0203,2025-01-17,B030,The Lean Startup,Eric Ries,Business,599.0,4,2396.0
S0204,2025-10-11,B008,The Great Gatsby,F. Scott Fitzgerald,Fiction,325.0,4,1300.0
S0205,2025-08-31,B003,Ikigai,Hector Garcia,Self-Help,449.0,4,1796.0
S0206,2025-02-19,B020,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,599.0,3,1797.0
S0207,2025-09-06,B002,Atomic Habits,James Clear,Self-Help,599.0,4,2396.0
S0208,2025-03-31,B001,The Alchemist,Paulo Coelho,Fiction,399.0,1,399.0
S0209,2025-11-08,B004,Rich Dad Poor Dad,Robert Kiyosaki,Finance,499.0,4,1996.0
S0210,2025-01-06,B005,The Psychology of Money,Morgan Housel,Finance,550.0,4,2200.0
S0211,2025-11-28,B020,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,599.0,1,599.0
S0212,2025-02-27,B001,The Alchemist,Paulo Coelho,Fiction,399.0,1,399.0
S0213,2025-12-24,B018,Data Science from Scratch,Joel Grus,Technology,900.0,4,3600.0
S0214,2025-04-16,B006,1984,George Orwell,Fiction,299.0,4,1196.0
S0215,2025-09-02,B002,Atomic Habits,James Clear,Self-Help,599.0,4,2396.0
S0216,2025-02-13,B028,Zero to One,Peter Thiel,Business,499.0,4,1996.0
S0217,2025-10-27,B021,Dune,Frank Herbert,Fantasy,550.0,4,2200.0
S0218,2025-06-16,B001,The Alchemist,Paulo Coelho,Fiction,399.0,1,399.0
S0219,2025-09-12,B003,Ikigai,Hector Garcia,Self-Help,449.0,3,1347.0
S0220,2025-07-20,B022,Pride and Prejudice,Jane Austen,Classic,399.0,3,1197.0
S0221,2025-06-13,B026,The Power of Now,Eckhart Tolle,Self-Help,499.0,1,499.0
S0222,2025-01-20,B022,Pride and Prejudice,Jane Austen,Classic,399.0,1,399.0
S0223,2025-02-06,B007,To Kill a Mockingbird,Harper Lee,Fiction,350.0,3,1050.0
S0224,2025-10-01,B030,The Lean Startup,Eric Ries,Business,599.0,3,1797.0
S0225,2025-01-26,B002,Atomic Habits,James Clear,Self-Help,599.0,3,1797.0
S0226,2025-03-21,B001,The Alchemist,Paulo Coelho,Fiction,399.0,4,1596.0
S0227,2025-05-31,B021,Dune,Frank Herbert,Fantasy,550.0,1,550.0
S0228,2025-10-09,B002,Atomic Habits,James Clear,Self-Help,599.0,1,599.0
S0229,2025-08-05,B030,The Lean Startup,Eric Ries,Business,599.0,2,1198.0
S0230,2025-04-03,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,3,1425.0
S0231,2025-06-12,B017,Automate the Boring Stuff,Al Sweigart,Technology,650.0,1,650.0
S0232,2025-07-17,B029,Good to Great,Jim Collins,Business,650.0,2,1300.0
S0233,2025-07-16,B017,Automate the Boring Stuff,Al Sweigart,Technology,650.0,3,1950.0
S0234,2025-06-11,B020,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,599.0,4,2396.0
S0235,2025-06-18,B004,Rich Dad Poor Dad,Robert Kiyosaki,Finance,499.0,3,1497.0
S0236,2025-11-30,B012,Deep Work,Cal Newport,Productivity,525.0,2,1050.0
S0237,2025-12-22,B003,Ikigai,Hector Garcia,Self-Help,449.0,1,449.0
S0238,2025-02-04,B008,The Great Gatsby,F. Scott Fitzgerald,Fiction,325.0,2,650.0
S0239,2025-10-14,B013,Think and Grow Rich,Napoleon Hill,Self-Help,375.0,3,1125.0
S0240,2025-12-21,B019,The Hobbit,J.R.R. Tolkien,Fantasy,499.0,2,998.0
S0241,2025-11-03,B012,Deep Work,Cal Newport,Productivity,525.0,1,525.0
S0242,2025-08-08,B017,Automate the Boring Stuff,Al Sweigart,Technology,650.0,2,1300.0
S0243,2025-04-20,B001,The Alchemist,Paulo Coelho,Fiction,399.0,2,798.0
S0244,2025-02-23,B015,Clean Code,Robert C. Martin,Technology,699.0,1,699.0
S0245,2025-05-09,B017,Automate the Boring Stuff,Al Sweigart,Technology,650.0,3,1950.0
S0246,2025-07-19,B021,Dune,Frank Herbert,Fantasy,550.0,3,1650.0
S0247,2025-08-14,B020,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,599.0,2,1198.0
S0248,2025-05-06,B024,A Brief History of Time,Stephen Hawking,Science,650.0,3,1950.0
S0249,2025-07-13,B013,Think and Grow Rich,Napoleon Hill,Self-Help,375.0,3,1125.0
S0250,2025-12-18,B011,Steve Jobs,Walter Isaacson,Biography,799.0,3,2397.0
S0251,2025-07-23,B022,Pride and Prejudice,Jane Austen,Classic,399.0,4,1596.0
S0252,2025-11-07,B028,Zero to One,Peter Thiel,Business,499.0,3,1497.0
S0253,2025-04-09,B016,Python Crash Course,Eric Matthes,Technology,799.0,4,3196.0
S0254,2025-07-09,B009,Sapiens,Yuval Noah Harari,History,699.0,4,2796.0
S0255,2025-01-16,B015,Clean Code,Robert C. Martin,Technology,699.0,1,699.0
S0256,2025-11-14,B002,Atomic Habits,James Clear,Self-Help,599.0,4,2396.0
S0257,2025-01-29,B002,Atomic Habits,James Clear,Self-Help,599.0,2,1198.0
S0258,2025-06-27,B010,Educated,Tara Westover,Biography,599.0,1,599.0
S0259,2025-01-25,B009,Sapiens,Yuval Noah Harari,History,699.0,3,2097.0
S0260,2025-06-09,B001,The Alchemist,Paulo Coelho,Fiction,399.0,4,1596.0
S0261,2025-06-01,B026,The Power of Now,Eckhart Tolle,Self-Help,499.0,2,998.0
S0262,2025-03-29,B004,Rich Dad Poor Dad,Robert Kiyosaki,Finance,499.0,3,1497.0
S0263,2025-07-05,B003,Ikigai,Hector Garcia,Self-Help,449.0,2,898.0
S0264,2025-01-28,B029,Good to Great,Jim Collins,Business,650.0,4,2600.0
S0265,2025-06-04,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,2,950.0
S0266,2025-02-22,B020,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,599.0,3,1797.0
S0267,2025-12-04,B012,Deep Work,Cal Newport,Productivity,525.0,3,1575.0
S0268,2025-09-04,B001,The Alchemist,Paulo Coelho,Fiction,399.0,1,399.0
S0269,2025-06-20,B016,Python Crash Course,Eric Matthes,Technology,799.0,1,799.0
S0270,2025-06-02,B004,Rich Dad Poor Dad,Robert Kiyosaki,Finance,499.0,4,1996.0
S0271,2025-12-16,B030,The Lean Startup,Eric Ries,Business,599.0,3,1797.0
S0272,2025-10-20,B026,The Power of Now,Eckhart Tolle,Self-Help,499.0,4,1996.0
S0273,2025-07-03,B004,Rich Dad Poor Dad,Robert Kiyosaki,Finance,499.0,2,998.0
S0274,2025-04-30,B012,Deep Work,Cal Newport,Productivity,525.0,1,525.0
S0275,2025-01-16,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,2,950.0
S0276,2025-12-02,B014,The Intelligent Investor,Benjamin Graham,Finance,850.0,1,850.0
S0277,2025-03-31,B005,The Psychology of Money,Morgan Housel,Finance,550.0,4,2200.0
S0278,2025-08-19,B002,Atomic Habits,James Clear,Self-Help,599.0,1,599.0
S0279,2025-03-12,B008,The Great Gatsby,F. Scott Fitzgerald,Fiction,325.0,2,650.0
S0280,2025-09-21,B017,Automate the Boring Stuff,Al Sweigart,Technology,650.0,2,1300.0
S0281,2025-04-09,B002,Atomic Habits,James Clear,Self-Help,599.0,1,599.0
S0282,2025-11-08,B026,The Power of Now,Eckhart Tolle,Self-Help,499.0,3,1497.0
S0283,2025-05-29,B020,Harry Potter and the Sorcerer's Stone,J.K. Rowling,Fantasy,599.0,3,1797.0
S0284,2025-08-13,B023,The Kite Runner,Khaled Hosseini,Fiction,475.0,1,475.0
S0285,2025-09-29,B011,Steve Jobs,Walter Isaacson,Biography,799.0,3,2397.0
S0286,2025-12-06,B010,Educated,Tara Westover,Biography,599.0,4,2396.0
S0287,2025-07-13,B015,Clean Code,Robert C. Martin,Technology,699.0,4,2796.0
S0288,2025-05-16,B026,The Power of Now,Eckhart Tolle,Self-Help,499.0,3,1497.0
S0289,2025-04-22,B028,Zero to One,Peter Thiel,Business,499.0,3,1497.0
S0290,2025-05-21,B026,The Power of Now,Eckhart Tolle,Self-Help,499.0,2,998.0
S0291,2025-11-06,B015,Clean Code,Robert C. Martin,Technology,699.0,3,2097.0
S0292,2025-01-09,B003,Ikigai,Hector Garcia,Self-Help,449.0,2,898.0
S0293,2025-08-18,B028,Zero to One,Peter Thiel,Business,499.0,3,1497.0
S0294,2025-01-04,B005,The Psychology of Money,Morgan Housel,Finance,550.0,2,1100.0
S0295,2025-04-05,B005,The Psychology of Money,Morgan Housel,Finance,550.0,1,550.0
S0296,2025-09-10,B028,Zero to One,Peter Thiel,Business,499.0,2,998.0
S0297,2025-02-21,B009,Sapiens,Yuval Noah Harari,History,699.0,3,2097.0
S0298,2025-06-01,B001,The Alchemist,Paulo Coelho,Fiction,399.0,2,798.0
S0299,2025-07-11,B021,Dune,Frank Herbert,Fantasy,550.0,3,1650.0
S0300,2025-10-21,B030,The Lean Startup,Eric Ries,Business,599.0,3,1797.0
